YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2015,Kentucky,241.7277619,Mathematics,4,688475.0,7548871,3807748,10964.63,5530.7
2015,Kentucky,277.94726010000005,Mathematics,8,688475.0,7548871,3807748,10964.63,5530.7
2015,Kentucky,228.05516830000002,Reading,4,688475.0,7548871,3807748,10964.63,5530.7
2015,Kentucky,267.7729001,Reading,8,688475.0,7548871,3807748,10964.63,5530.7
2015,Louisiana,234.2819018,Mathematics,4,661015.0,8448743,4100906,12781.47,6203.95
2015,Louisiana,268.4323551,Mathematics,8,661015.0,8448743,4100906,12781.47,6203.95
2015,Louisiana,216.1993372,Reading,4,661015.0,8448743,4100906,12781.47,6203.95
2015,Louisiana,255.46941780000003,Reading,8,661015.0,8448743,4100906,12781.47,6203.95
2015,Maine,242.24465409999996,Mathematics,4,176176.0,2739589,1406898,15550.3,7985.75
2015,Maine,284.875477,Mathematics,8,176176.0,2739589,1406898,15550.3,7985.75
2015,Maine,223.7286079,Reading,4,176176.0,2739589,1406898,15550.3,7985.75
2015,Maine,268.3912363,Reading,8,176176.0,2739589,1406898,15550.3,7985.75
2015,Maryland,239.4997509,Mathematics,4,874108.0,14491642,7686024,16578.78,8792.99
2015,Maryland,283.1490341,Mathematics,8,874108.0,14491642,7686024,16578.78,8792.99
2015,Maryland,222.94418959999996,Reading,4,874108.0,14491642,7686024,16578.78,8792.99
2015,Maryland,267.9055297,Reading,8,874108.0,14491642,7686024,16578.78,8792.99
2015,Massachusetts,250.5657778,Mathematics,4,916130.0,16985185,9774884,18540.15,10669.76
2015,Massachusetts,296.90857139999997,Mathematics,8,916130.0,16985185,9774884,18540.15,10669.76
2015,Massachusetts,235.27542340000002,Reading,4,916130.0,16985185,9774884,18540.15,10669.76
2015,Massachusetts,274.4975681,Reading,8,916130.0,16985185,9774884,18540.15,10669.76
2015,Michigan,235.7288937,Mathematics,4,1345009.0,19025996,9040821,14145.63,6721.76
2015,Michigan,278.1686519,Mathematics,8,1345009.0,19025996,9040821,14145.63,6721.76
2015,Michigan,216.30663019999997,Reading,4,1345009.0,19025996,9040821,14145.63,6721.76
2015,Michigan,264.4967551,Reading,8,1345009.0,19025996,9040821,14145.63,6721.76
2015,Minnesota,249.575847,Mathematics,4,807044.0,11684249,6257807,14477.83,7753.98
2015,Minnesota,294.14777799999996,Mathematics,8,807044.0,11684249,6257807,14477.83,7753.98
2015,Minnesota,223.35292,Reading,4,807044.0,11684249,6257807,14477.83,7753.98
2015,Minnesota,270.23681780000004,Reading,8,807044.0,11684249,6257807,14477.83,7753.98
2015,Mississippi,234.2430531,Mathematics,4,490189.0,4592343,2350872,9368.52,4795.85
