YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2015,Texas,283.7935403,Mathematics,8,5004866.0,55582029,26745844,11105.6,5343.97
2015,Utah,286.1169112,Mathematics,8,573913.0,4705084,2367650,8198.25,4125.45
2015,Vermont,290.3551912,Mathematics,8,85184.0,1996795,983532,23440.96,11545.97
2015,Virginia,287.7092987,Mathematics,8,1279867.0,15857524,8755896,12389.98,6841.25
2015,Washington,286.5131076,Mathematics,8,1072359.0,13709442,6508964,12784.38,6069.76
2015,West Virginia,271.4507088,Mathematics,8,279565.0,3478401,1819903,12442.19,6509.77
2015,Wisconsin,289.0777492,Mathematics,8,861813.0,11637376,5723474,13503.37,6641.2
2015,Wyoming,286.6665471,Mathematics,8,93867.0,1962874,895910,20911.23,9544.46
2013,Alabama,269.1942806,Mathematics,8,744548.0,7197439,3747993,9666.86,5033.92
2013,Alaska,281.5595728,Mathematics,8,131091.0,2545117,1324649,19414.89,10104.81
2013,Arizona,279.722268,Mathematics,8,941726.0,8164324,3824071,8669.53,4060.7
2013,Arkansas,277.9148025,Mathematics,8,477716.0,5067546,2545564,10607.86,5328.61
2013,California,275.9013507,Mathematics,8,6208733.0,68868516,34194878,11092.2,5507.55
2013,Colorado,289.6818001,Mathematics,8,851063.0,8826868,4292898,10371.58,5044.16
2013,Connecticut,285.2439723,Mathematics,8,517812.0,10319361,5562212,19928.78,10741.76
2013,Delaware,282.3382986,Mathematics,8,118685.0,1930466,1030897,16265.46,8685.99
2013,District of Columbia,265.2593657,Mathematics,8,44179.0,1300036,559940,29426.56,12674.35
2013,Florida,280.8558396,Mathematics,8,2680074.0,24681548,13833236,9209.28,5161.51
2013,Georgia,279.1791109,Mathematics,8,1682620.0,17459504,9555687,10376.38,5679.05
2013,Hawaii,281.4129223,Mathematics,8,184760.0,2331770,1283872,12620.53,6948.86
2013,Idaho,286.4138816,Mathematics,8,272070.0,2015534,1113400,7408.14,4092.33
2013,Illinois,284.8976472,Mathematics,8,2069823.0,30057886,15285224,14521.96,7384.8
2013,Indiana,287.7676538,Mathematics,8,1002772.0,12236713,5535933,12202.89,5520.63
2013,Iowa,285.0701378,Mathematics,8,499489.0,6281345,3174989,12575.54,6356.47
2013,Kansas,289.5182561,Mathematics,8,488590.0,5667223,2969201,11599.14,6077.08
2013,Kentucky,280.6454425,Mathematics,8,685009.0,7216175,3663594,10534.42,5348.24
2013,Louisiana,272.7609665,Mathematics,8,671156.0,8121179,3963343,12100.29,5905.25
2013,Maine,288.7311597,Mathematics,8,184682.0,2650346,1351259,14350.86,7316.68
2013,Maryland,286.6413811,Mathematics,8,859252.0,13814727,7303090,16077.62,8499.36
2013,Massachusetts,300.568235,Mathematics,8,920968.0,16114783,9097982,17497.66,9878.72
2013,Michigan,280.1335971,Mathematics,8,1381167.0,18270327,8885537,13228.18,6433.35
2013,Minnesota,294.5929726,Mathematics,8,802454.0,10848720,5826404,13519.43,7260.73
2013,Mississippi,271.1609673,Mathematics,8,492847.0,4444064,2274357,9017.13,4614.73
2013,Missouri,282.9884579,Mathematics,8,897224.0,10103589,5139610,11260.94,5728.35
2013,Montana,289.228453,Mathematics,8,142797.0,1671053,907018,11702.3,6351.8
2013,Nebraska,285.0613485,Mathematics,8,303242.0,3870164,2318463,12762.63,7645.59
2013,Nevada,278.2866809,Mathematics,8,431776.0,4131800,2058538,9569.31,4767.61
2013,New Hampshire,295.6651233,Mathematics,8,187703.0,2976317,1642945,15856.52,8752.9
2013,New Jersey,296.0533511,Mathematics,8,1338657.0,28070096,15489942,20968.85,11571.26
2013,New Mexico,272.7618089,Mathematics,8,327209.0,3518621,1709797,10753.44,5225.4
2013,New York,281.8077878,Mathematics,8,2629805.0,59623918,38756656,22672.37,14737.46
2013,North Carolina,285.6453884,Mathematics,8,1468228.0,12729402,7681386,8669.91,5231.74
2013,North Dakota,290.5151113,Mathematics,8,101025.0,1405349,718970,13910.9,7116.75
2013,Ohio,289.5280968,Mathematics,8,1613718.0,22536516,10800145,13965.59,6692.71
2013,Oklahoma,275.506732,Mathematics,8,671445.0,5878111,2800189,8754.42,4170.39
2013,Oregon,283.5245891,Mathematics,8,564006.0,6077498,3261733,10775.59,5783.15
2013,Pennsylvania,289.6236516,Mathematics,8,1623694.0,28484645,15456205,17543.11,9519.16
2013,Rhode Island,284.0922122,Mathematics,8,136401.0,2282659,1265936,16734.91,9280.99
2013,South Carolina,279.8246086,Mathematics,8,722249.0,8254462,3933177,11428.83,5445.74
2013,South Dakota,287.2703906,Mathematics,8,130296.0,1316613,663258,10104.78,5090.39
2013,Tennessee,277.7201273,Mathematics,8,992461.0,9008032,5191269,9076.46,5230.7
2013,Texas,288.1989676,Mathematics,8,4897523.0,49734537,24226519,10155.04,4946.69
2013,Utah,284.3314862,Mathematics,8,562315.0,4300793,2361179,7648.37,4199.03
2013,Vermont,295.4695624,Mathematics,8,89200.0,1817307,935593,20373.4,10488.71
2013,Virginia,288.1429595,Mathematics,8,1264880.0,15322318,8445746,12113.65,6677.11
2013,Washington,289.9569887,Mathematics,8,1050901.0,12242231,5911337,11649.27,5625.02
2013,West Virginia,274.4301347,Mathematics,8,282310.0,3486366,1828234,12349.42,6475.98
2013,Wisconsin,288.7457808,Mathematics,8,863737.0,11097447,5637545,12848.18,6526.92
2013,Wyoming,288.1191373,Mathematics,8,91533.0,1695967,846872,18528.48,9252.09
